                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.0021,                 1.8697,                0.86908,                 1.0888,                0.64269,                0.66667,                0.60282,                0.40198,                0.64269,                0.66667,                0.54053,                0.32411,                 1.1956,                 2.9953,                 1.6705,                 1.5236,               0.000614,               0.000614,               0.000614
                     73,                 1.0406,                 2.0886,                0.91544,                 1.1606,                0.65994,                0.66667,                0.61412,                0.44474,                0.65994,                0.66667,                0.61412,                 0.3281,                 1.1759,                 3.0314,                 1.6604,                 1.5848,              0.0005942,              0.0005942,              0.0005942
                     74,                0.89328,                 1.4635,                0.76832,                 1.0824,                0.52359,                0.73744,                0.58512,                0.45041,                0.66563,                0.66407,                0.61198,                0.31688,                 1.1541,                 3.1241,                 1.7162,                 1.6227,              0.0005744,              0.0005744,              0.0005744
                     75,                0.87328,                 1.6739,                0.87202,                 1.0635,                0.55343,                0.82695,                0.60284,                 0.3846,                0.60061,                0.83333,                0.65083,                0.23697,                 1.1128,                 3.2913,                 1.6726,                 1.5334,              0.0005546,              0.0005546,              0.0005546
                     76,                0.92134,                 1.6863,                0.78637,                  1.084,                0.54914,                0.66667,                0.58148,                0.35608,                0.40849,                0.66667,                0.42015,                 0.1535,                 1.2336,                 3.3956,                 1.6097,                  1.635,              0.0005348,              0.0005348,              0.0005348
                     77,                0.94656,                 1.7322,                0.81202,                 1.0825,                0.62662,                0.66667,                0.65287,                0.42978,                0.57943,                      1,                0.68258,                0.18498,                 1.2503,                 3.3535,                 1.5633,                 1.5771,               0.000515,               0.000515,               0.000515
                     78,                0.88227,                 1.5544,                0.87179,                 1.0382,                  0.595,                0.83333,                0.61003,                0.41801,                0.39561,                0.66667,                0.33849,                0.12932,                 1.2345,                  3.353,                 1.5209,                 1.5724,              0.0004952,              0.0004952,              0.0004952
                     79,                0.84316,                 1.5537,                0.76936,                 1.0204,                0.54287,                0.83333,                0.55058,                0.34878,                0.39225,                 0.6473,                0.35964,                0.12689,                 1.3159,                 3.2731,                 1.6387,                 1.5858,              0.0004754,              0.0004754,              0.0004754
                     80,                0.85445,                 1.5516,                0.72064,                 1.0324,                0.55164,                0.83333,                0.56614,                0.37092,                0.48762,                0.79621,                0.51676,                0.14139,                 1.3518,                 3.2995,                 1.7379,                 1.5549,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0004,                 1.8283,                0.79442,                 1.0672,                  0.602,                0.83333,                0.61316,                0.39127,                0.55473,                0.83085,                0.61661,                0.23406,                 1.3827,                 3.2611,                 1.7348,                 1.5541,              0.0004358,              0.0004358,              0.0004358
                     82,                0.84176,                 1.4924,                0.70824,                 1.0453,                 0.6505,                      1,                0.70458,                0.38938,                0.54661,                0.83333,                0.63655,                 0.2529,                 1.3759,                 3.2037,                 1.7696,                 1.5249,               0.000416,               0.000416,               0.000416
                     83,                0.84596,                 1.6138,                0.71123,                 1.0049,                0.64059,                      1,                 0.8025,                0.39413,                0.64059,                      1,                 0.8025,                0.29637,                 1.3332,                 3.3616,                 1.7406,                 1.5014,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.8905,                 1.5239,                0.85993,                 1.0931,                0.85651,                      1,                0.85286,                0.42133,                0.85651,                      1,                0.85286,                 0.3321,                 1.2021,                 3.2704,                 1.8439,                 1.4039,              0.0003764,              0.0003764,              0.0003764
                     85,                0.94387,                 1.7076,                0.72826,                 1.1254,                0.69275,                0.83333,                0.71343,                0.40422,                0.83627,                      1,                0.85286,                0.35921,                 1.1184,                 3.3138,                 1.8437,                 1.3272,              0.0003566,              0.0003566,              0.0003566
                     86,                0.85407,                 1.5359,                0.71456,                 1.0004,                0.65432,                0.83333,                  0.665,                0.38734,                0.79275,                      1,                0.85286,                0.32861,                 1.1372,                 3.4445,                 1.8551,                 1.3158,              0.0003368,              0.0003368,              0.0003368
                     87,                0.84115,                 1.5629,                0.71642,                 1.0309,                0.53386,                0.83333,                0.59778,                0.43633,                0.64429,                      1,                 0.8025,                0.34318,                 1.1883,                 3.5144,                 1.7803,                 1.3152,               0.000317,               0.000317,               0.000317
                     88,                 0.8677,                  1.579,                0.74702,                0.99565,                0.55628,                0.66667,                0.49591,                0.37108,                0.69575,                0.83333,                0.67027,                0.30473,                 1.2005,                  3.615,                 1.8495,                 1.3149,              0.0002972,              0.0002972,              0.0002972
                     89,                0.75224,                 1.5683,                0.70704,                 1.0083,                 0.5576,                0.66667,                0.51553,                0.35482,                0.69699,                0.83333,                0.69243,                0.31216,                 1.2496,                 3.3542,                   1.78,                 1.3461,              0.0002774,              0.0002774,              0.0002774
                     90,                0.77106,                 1.4328,                0.66294,                0.99181,                0.61524,                0.83333,                0.58798,                0.40472,                0.74246,                      1,                0.74625,                0.31819,                 1.2814,                 3.1775,                 1.7541,                 1.3743,              0.0002576,              0.0002576,              0.0002576
                     91,                0.89562,                  1.586,                0.88851,                 1.0605,                0.61988,                0.83333,                 0.6239,                 0.4153,                0.73202,                      1,                0.74625,                0.38359,                 1.3258,                 3.0166,                 1.7133,                 1.4624,              0.0002378,              0.0002378,              0.0002378
                     92,                0.81807,                 1.4595,                 0.8398,                 1.0684,                0.60576,                0.83333,                0.64805,                0.39636,                0.72803,                      1,                 0.7795,                0.38093,                 1.4134,                 3.0398,                 1.6786,                 1.5567,               0.000218,               0.000218,               0.000218
                     93,                0.74391,                 1.3707,                0.96545,                 1.0628,                0.64363,                0.83333,                0.62554,                0.35583,                0.77236,                      1,                0.85286,                0.37607,                  1.468,                 3.0272,                 1.6917,                 1.6139,              0.0001982,              0.0001982,              0.0001982
                     94,                0.76161,                 2.3433,                0.95971,                 1.0122,                0.68303,                0.83333,                0.62567,                 0.3504,                0.82229,                      1,                0.85286,                0.30077,                 1.4942,                 3.2051,                 1.6109,                  1.722,              0.0001784,              0.0001784,              0.0001784
                     95,                0.81331,                 1.6106,                 0.7513,                 1.0139,                0.55386,                0.66667,                0.53973,                0.35552,                0.69385,                0.83333,                0.61602,                 0.2383,                  1.573,                 3.4073,                 1.4363,                 1.8816,              0.0001586,              0.0001586,              0.0001586
                     96,                0.83118,                 1.3102,                0.91205,                  1.198,                0.69645,                0.83333,                0.63331,                0.36271,                0.55546,                0.66667,                0.41823,                0.14364,                  1.609,                 3.5521,                  1.369,                 1.9757,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.7106,                 1.5213,                0.76266,                 1.0251,                 0.6977,                0.83333,                0.62935,                0.36104,                0.55588,                0.66667,                0.42083,                0.13334,                 1.6651,                 3.6136,                 1.2921,                 2.0958,               0.000119,               0.000119,               0.000119
                     98,                0.87667,                 1.4875,                0.81169,                 1.0466,                0.69623,                0.83333,                0.62432,                0.35861,                0.55378,                0.66667,                 0.4232,                0.13225,                 1.6333,                 3.7829,                  1.313,                 2.0866,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.69737,                 1.2239,                0.72189,                 1.0127,                0.69624,                0.83333,                0.62308,                0.36802,                0.55245,                0.66667,                0.42448,                0.12927,                   1.63,                 3.7893,                 1.3001,                 2.0871,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.71544,                 1.4473,                0.77015,                0.99398,                0.69018,                0.83333,                0.62217,                0.36761,                0.54982,                0.66667,                0.43268,                0.13433,                 1.6402,                 3.6751,                  1.326,                 2.1022,               5.96e-05,               5.96e-05,               5.96e-05
